Country;Sex;Occupation;Currency;Survey;Type of Source;2010;2011;2012;2013;2014;2015;2016;2017
Austria;Male (Sex);8. Plant and machine operators, and assemblers (ISCO-08);Constant 2011 PPP $ (Currency);General Income Report;Other administrative records and related sources;2909;2939;3020;3290;3371;3292;;
Austria;Male (Sex);9. Elementary occupations (ISCO-08);Constant 2011 PPP $ (Currency);General Income Report;Other administrative records and related sources;2172;2036;2180;2256;2280;2236;;
Austria;Male (Sex);TOTAL. Total (ISCO-08);Constant 2011 PPP $ (Currency);General Income Report;Other administrative records and related sources;3544;3608;3794;3931;4008;4038;;
Austria;Female (Sex);1. Managers (ISCO-08);Constant 2011 PPP $ (Currency);General Income Report;Other administrative records and related sources;4509;4800;4937;5193;5159;5556;;
Austria;Female (Sex);2. Professionals (ISCO-08);Constant 2011 PPP $ (Currency);General Income Report;Other administrative records and related sources;3898;3536;3809;3820;3863;3925;;
Austria;Female (Sex);3. Technicians and associate professionals (ISCO-08);Constant 2011 PPP $ (Currency);General Income Report;Other administrative records and related sources;2581;2768;2824;2891;2914;3028;;
Austria;Female (Sex);4. Clerical support workers (ISCO-08);Constant 2011 PPP $ (Currency);General Income Report;Other administrative records and related sources;2296;2360;2418;2502;2510;2610;;
Austria;Female (Sex);5. Service and sales workers (ISCO-08);Constant 2011 PPP $ (Currency);General Income Report;Other administrative records and related sources;1450;1479;1544;1618;1646;1674;;
Austria;Female (Sex);6. Skilled agricultural, forestry and fishery workers (ISCO-08);Constant 2011 PPP $ (Currency);General Income Report;Other administrative records and related sources;1029;1093;1249;1562;1370;1441;;
Austria;Female (Sex);7. Craft and related trades workers (ISCO-08);Constant 2011 PPP $ (Currency);General Income Report;Other administrative records and related sources;1821;1935;2041;2111;2247;2101;;
Austria;Female (Sex);8. Plant and machine operators, and assemblers (ISCO-08);Constant 2011 PPP $ (Currency);General Income Report;Other administrative records and related sources;1700;2062;2067;2115;2149;2207;;
Austria;Female (Sex);9. Elementary occupations (ISCO-08);Constant 2011 PPP $ (Currency);General Income Report;Other administrative records and related sources;1287;1227;1321;1390;1423;1433;;
Austria;Female (Sex);TOTAL. Total (ISCO-08);Constant 2011 PPP $ (Currency);General Income Report;Other administrative records and related sources;2163;2223;2336;2420;2466;2531;;
Belgium;Male (Sex);1. Managers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;7647;;8214;;8442;;
Belgium;Male (Sex);2. Professionals (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;5283;;5548;;5723;;
Belgium;Male (Sex);3. Technicians and associate professionals (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;4217;;4471;;4564;;
Belgium;Male (Sex);4. Clerical support workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;3297;;3489;;3538;;
Belgium;Male (Sex);5. Service and sales workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;2631;;2782;;2844;;
Belgium;Male (Sex);7. Craft and related trades workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;3109;;3307;;3403;;
Belgium;Male (Sex);8. Plant and machine operators, and assemblers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;3215;;3419;;3461;;
Belgium;Male (Sex);9. Elementary occupations (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;2739;;2858;;2900;;
Belgium;Male (Sex);TOTAL. Total (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;3765;;3983;;4163;;
Belgium;Female (Sex);1. Managers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;6588;;7035;;7226;;
Belgium;Female (Sex);2. Professionals (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;4635;;4922;;5081;;
Belgium;Female (Sex);3. Technicians and associate professionals (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;3545;;3790;;3873;;
Belgium;Female (Sex);4. Clerical support workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;3012;;3233;;3279;;
Belgium;Female (Sex);5. Service and sales workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;1910;;2069;;2118;;
Belgium;Female (Sex);7. Craft and related trades workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;2552;;2756;;2839;;
Belgium;Female (Sex);8. Plant and machine operators, and assemblers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;2661;;2884;;2930;;
Belgium;Female (Sex);9. Elementary occupations (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;1759;;1845;;1874;;
Belgium;Female (Sex);TOTAL. Total (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;2910;;3136;;3286;;
Bulgaria;Male (Sex);1. Managers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;;;;3264;;;
Bulgaria;Male (Sex);2. Professionals (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;;;;2400;;;
Bulgaria;Male (Sex);3. Technicians and associate professionals (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;;;;1750;;;
Bulgaria;Male (Sex);4. Clerical support workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;;;;1171;;;
Bulgaria;Male (Sex);5. Service and sales workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;;;;767;;;
Bulgaria;Male (Sex);6. Skilled agricultural, forestry and fishery workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;;;;2323;;;
Bulgaria;Male (Sex);7. Craft and related trades workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;;;;1236;;;
Bulgaria;Male (Sex);8. Plant and machine operators, and assemblers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;;;;1048;;;
Bulgaria;Male (Sex);9. Elementary occupations (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;;;;758;;;
Bulgaria;Male (Sex);TOTAL. Total (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;;;;1365;;;
Bulgaria;Female (Sex);1. Managers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;;;;2771;;;
Bulgaria;Female (Sex);2. Professionals (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;;;;1591;;;
Bulgaria;Female (Sex);3. Technicians and associate professionals (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;;;;1497;;;
Bulgaria;Female (Sex);4. Clerical support workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;;;;1048;;;
Bulgaria;Female (Sex);5. Service and sales workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;;;;789;;;
Bulgaria;Female (Sex);6. Skilled agricultural, forestry and fishery workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;;;;2443;;;
Bulgaria;Female (Sex);7. Craft and related trades workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;;;;830;;;
Bulgaria;Female (Sex);8. Plant and machine operators, and assemblers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;;;;857;;;
Bulgaria;Female (Sex);9. Elementary occupations (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;;;;702;;;
Bulgaria;Female (Sex);TOTAL. Total (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;;;;1168;;;
Cyprus;Male (Sex);1. Managers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;7525;;;;6865;;;
Cyprus;Male (Sex);2. Professionals (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;4523;;;;4134;;;
Cyprus;Male (Sex);3. Technicians and associate professionals (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;3785;;;;3701;;;
Cyprus;Male (Sex);4. Clerical support workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;2537;;;;2293;;;
Cyprus;Male (Sex);5. Service and sales workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;2108;;;;1907;;;
Cyprus;Male (Sex);6. Skilled agricultural, forestry and fishery workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;1943;;;;1806;;;
Cyprus;Male (Sex);7. Craft and related trades workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;2662;;;;2256;;;
Cyprus;Male (Sex);8. Plant and machine operators, and assemblers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;2405;;;;2235;;;
Cyprus;Male (Sex);9. Elementary occupations (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;1993;;;;1723;;;
Cyprus;Male (Sex);TOTAL. Total (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;3181;;;;2990;;;
Cyprus;Female (Sex);1. Managers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;6761;;;;5426;;;
Cyprus;Female (Sex);2. Professionals (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;4107;;;;3774;;;
Cyprus;Female (Sex);3. Technicians and associate professionals (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;3235;;;;3025;;;
Cyprus;Female (Sex);4. Clerical support workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;2227;;;;2174;;;
Cyprus;Female (Sex);5. Service and sales workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;1626;;;;1646;;;
Cyprus;Female (Sex);7. Craft and related trades workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;2076;;;;1556;;;
Cyprus;Female (Sex);8. Plant and machine operators, and assemblers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;1261;;;;1791;;;
Cyprus;Female (Sex);9. Elementary occupations (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;1454;;;;1506;;;
Cyprus;Female (Sex);TOTAL. Total (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;2511;;;;2459;;;
Czech Republic;Male (Sex);1. Managers (ISCO-08);Constant 2011 PPP $ (Currency);Survey on Structure of Earnings;Establishment survey;;4613;4841;4918;5075;5182;5278;
Czech Republic;Male (Sex);2. Professionals (ISCO-08);Constant 2011 PPP $ (Currency);Survey on Structure of Earnings;Establishment survey;;3133;3239;3401;3519;3613;3734;
Czech Republic;Male (Sex);3. Technicians and associate professionals (ISCO-08);Constant 2011 PPP $ (Currency);Survey on Structure of Earnings;Establishment survey;;2372;2382;2494;2583;2653;2774;
Czech Republic;Male (Sex);4. Clerical support workers (ISCO-08);Constant 2011 PPP $ (Currency);Survey on Structure of Earnings;Establishment survey;;1899;1924;2013;2078;2115;2212;
Czech Republic;Male (Sex);5. Service and sales workers (ISCO-08);Constant 2011 PPP $ (Currency);Survey on Structure of Earnings;Establishment survey;;1338;1351;1414;1476;1535;1611;
Czech Republic;Male (Sex);6. Skilled agricultural, forestry and fishery workers (ISCO-08);Constant 2011 PPP $ (Currency);Survey on Structure of Earnings;Establishment survey;;1396;1445;1535;1604;1640;1739;
Czech Republic;Male (Sex);7. Craft and related trades workers (ISCO-08);Constant 2011 PPP $ (Currency);Survey on Structure of Earnings;Establishment survey;;1659;1683;1787;1857;1916;1990;
Czech Republic;Male (Sex);8. Plant and machine operators, and assemblers (ISCO-08);Constant 2011 PPP $ (Currency);Survey on Structure of Earnings;Establishment survey;;1648;1675;1749;1808;1868;1945;
Czech Republic;Male (Sex);9. Elementary occupations (ISCO-08);Constant 2011 PPP $ (Currency);Survey on Structure of Earnings;Establishment survey;;1254;1275;1337;1357;1390;1481;
Czech Republic;Male (Sex);TOTAL. Total (ISCO-08);Constant 2011 PPP $ (Currency);Survey on Structure of Earnings;Establishment survey;;2130;2171;2270;2346;2410;2499;
Czech Republic;Female (Sex);1. Managers (ISCO-08);Constant 2011 PPP $ (Currency);Survey on Structure of Earnings;Establishment survey;;3254;3393;3559;3678;3784;3837;
Czech Republic;Female (Sex);2. Professionals (ISCO-08);Constant 2011 PPP $ (Currency);Survey on Structure of Earnings;Establishment survey;;2256;2328;2463;2543;2605;2717;
Czech Republic;Female (Sex);3. Technicians and associate professionals (ISCO-08);Constant 2011 PPP $ (Currency);Survey on Structure of Earnings;Establishment survey;;1893;1915;2009;2068;2129;2227;
Czech Republic;Female (Sex);4. Clerical support workers (ISCO-08);Constant 2011 PPP $ (Currency);Survey on Structure of Earnings;Establishment survey;;1569;1575;1645;1688;1718;1784;
Czech Republic;Female (Sex);5. Service and sales workers (ISCO-08);Constant 2011 PPP $ (Currency);Survey on Structure of Earnings;Establishment survey;;1144;1158;1215;1251;1288;1390;
Czech Republic;Female (Sex);6. Skilled agricultural, forestry and fishery workers (ISCO-08);Constant 2011 PPP $ (Currency);Survey on Structure of Earnings;Establishment survey;;1211;1275;1374;1430;1453;1477;
Czech Republic;Female (Sex);7. Craft and related trades workers (ISCO-08);Constant 2011 PPP $ (Currency);Survey on Structure of Earnings;Establishment survey;;1225;1266;1348;1413;1454;1517;
Czech Republic;Female (Sex);8. Plant and machine operators, and assemblers (ISCO-08);Constant 2011 PPP $ (Currency);Survey on Structure of Earnings;Establishment survey;;1311;1359;1445;1501;1560;1635;
Czech Republic;Female (Sex);9. Elementary occupations (ISCO-08);Constant 2011 PPP $ (Currency);Survey on Structure of Earnings;Establishment survey;;991;993;1050;1079;1115;1179;
Czech Republic;Female (Sex);TOTAL. Total (ISCO-08);Constant 2011 PPP $ (Currency);Survey on Structure of Earnings;Establishment survey;;1658;1692;1778;1832;1882;1966;
Denmark;Male (Sex);1. Managers (ISCO-08);Constant 2011 PPP $ (Currency);Survey on Structure of Earnings;Establishment survey;;;;;8229;;;
Denmark;Male (Sex);2. Professionals (ISCO-08);Constant 2011 PPP $ (Currency);Survey on Structure of Earnings;Establishment survey;;;;;5865;;;
Denmark;Male (Sex);3. Technicians and associate professionals (ISCO-08);Constant 2011 PPP $ (Currency);Survey on Structure of Earnings;Establishment survey;;;;;5490;;;
Denmark;Male (Sex);4. Clerical support workers (ISCO-08);Constant 2011 PPP $ (Currency);Survey on Structure of Earnings;Establishment survey;;;;;3894;;;
Denmark;Male (Sex);5. Service and sales workers (ISCO-08);Constant 2011 PPP $ (Currency);Survey on Structure of Earnings;Establishment survey;;;;;3157;;;
Denmark;Male (Sex);6. Skilled agricultural, forestry and fishery workers (ISCO-08);Constant 2011 PPP $ (Currency);Survey on Structure of Earnings;Establishment survey;;;;;3613;;;
Denmark;Male (Sex);7. Craft and related trades workers (ISCO-08);Constant 2011 PPP $ (Currency);Survey on Structure of Earnings;Establishment survey;;;;;4188;;;
Denmark;Male (Sex);8. Plant and machine operators, and assemblers (ISCO-08);Constant 2011 PPP $ (Currency);Survey on Structure of Earnings;Establishment survey;;;;;4176;;;
Denmark;Male (Sex);9. Elementary occupations (ISCO-08);Constant 2011 PPP $ (Currency);Survey on Structure of Earnings;Establishment survey;;;;;3427;;;
Denmark;Male (Sex);TOTAL. Total (ISCO-08);Constant 2011 PPP $ (Currency);Survey on Structure of Earnings;Establishment survey;;;;;4737;;;
Denmark;Female (Sex);1. Managers (ISCO-08);Constant 2011 PPP $ (Currency);Survey on Structure of Earnings;Establishment survey;;;;;6374;;;
Denmark;Female (Sex);2. Professionals (ISCO-08);Constant 2011 PPP $ (Currency);Survey on Structure of Earnings;Establishment survey;;;;;4596;;;
Denmark;Female (Sex);3. Technicians and associate professionals (ISCO-08);Constant 2011 PPP $ (Currency);Survey on Structure of Earnings;Establishment survey;;;;;4343;;;
Denmark;Female (Sex);4. Clerical support workers (ISCO-08);Constant 2011 PPP $ (Currency);Survey on Structure of Earnings;Establishment survey;;;;;3805;;;
Denmark;Female (Sex);5. Service and sales workers (ISCO-08);Constant 2011 PPP $ (Currency);Survey on Structure of Earnings;Establishment survey;;;;;3004;;;
Denmark;Female (Sex);6. Skilled agricultural, forestry and fishery workers (ISCO-08);Constant 2011 PPP $ (Currency);Survey on Structure of Earnings;Establishment survey;;;;;3309;;;
Denmark;Female (Sex);7. Craft and related trades workers (ISCO-08);Constant 2011 PPP $ (Currency);Survey on Structure of Earnings;Establishment survey;;;;;3409;;;
Denmark;Female (Sex);8. Plant and machine operators, and assemblers (ISCO-08);Constant 2011 PPP $ (Currency);Survey on Structure of Earnings;Establishment survey;;;;;3597;;;
Denmark;Female (Sex);9. Elementary occupations (ISCO-08);Constant 2011 PPP $ (Currency);Survey on Structure of Earnings;Establishment survey;;;;;2838;;;
Denmark;Female (Sex);TOTAL. Total (ISCO-08);Constant 2011 PPP $ (Currency);Survey on Structure of Earnings;Establishment survey;;;;;3848;;;
Estonia;Male (Sex);1. Managers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;3576;;;;4163;;;
Estonia;Male (Sex);2. Professionals (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;2645;;;;3283;;;
Estonia;Male (Sex);3. Technicians and associate professionals (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;2134;;;;2778;;;
Estonia;Male (Sex);4. Clerical support workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;1651;;;;2013;;;
Estonia;Male (Sex);5. Service and sales workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;1088;;;;1460;;;
Estonia;Male (Sex);6. Skilled agricultural, forestry and fishery workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;1254;;;;1823;;;
Estonia;Male (Sex);7. Craft and related trades workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;1577;;;;2165;;;
Estonia;Male (Sex);8. Plant and machine operators, and assemblers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;1522;;;;1969;;;
Estonia;Male (Sex);9. Elementary occupations (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;1182;;;;1477;;;
Estonia;Male (Sex);TOTAL. Total (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;1913;;;;2429;;;
Estonia;Female (Sex);1. Managers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;2645;;;;3097;;;
Estonia;Female (Sex);2. Professionals (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;1859;;;;2250;;;
Estonia;Female (Sex);3. Technicians and associate professionals (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;1575;;;;2002;;;
Estonia;Female (Sex);4. Clerical support workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;1248;;;;1629;;;
Estonia;Female (Sex);5. Service and sales workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;937;;;;1217;;;
Estonia;Female (Sex);6. Skilled agricultural, forestry and fishery workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;1471;;;;1293;;;
Estonia;Female (Sex);7. Craft and related trades workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;1047;;;;1419;;;
Estonia;Female (Sex);8. Plant and machine operators, and assemblers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;1070;;;;1468;;;
Estonia;Female (Sex);9. Elementary occupations (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;788;;;;1079;;;
Estonia;Female (Sex);TOTAL. Total (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;1366;;;;1721;;;
Finland;Male (Sex);1. Managers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings survey;Establishment survey;6431;6584;;7061;7121;7286;;
Finland;Male (Sex);2. Professionals (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings survey;Establishment survey;4674;4703;;4923;4953;5013;;
Finland;Male (Sex);3. Technicians and associate professionals (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings survey;Establishment survey;3837;3848;;4025;4015;4060;;
Finland;Male (Sex);4. Clerical support workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings survey;Establishment survey;2946;2667;;2685;2773;2745;;
Finland;Male (Sex);5. Service and sales workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings survey;Establishment survey;2921;2544;;2622;2600;2620;;
Finland;Male (Sex);6. Skilled agricultural, forestry and fishery workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings survey;Establishment survey;2334;2407;;2524;2530;2510;;
Finland;Male (Sex);7. Craft and related trades workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings survey;Establishment survey;3115;3147;;3293;3277;3009;;
Finland;Male (Sex);8. Plant and machine operators, and assemblers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings survey;Establishment survey;3154;3227;;3405;3384;3202;;
Finland;Male (Sex);9. Elementary occupations (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings survey;Establishment survey;2694;2532;;2660;2614;2427;;
Finland;Male (Sex);TOTAL. Total (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings survey;Establishment survey;3741;3661;;3828;3813;3749;;
Finland;Female (Sex);1. Managers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings survey;Establishment survey;5050;5313;;5692;5690;5887;;
Finland;Female (Sex);2. Professionals (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings survey;Establishment survey;3900;3901;;4074;4127;4169;;
Finland;Female (Sex);3. Technicians and associate professionals (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings survey;Establishment survey;3109;3057;;3198;3181;3213;;
Finland;Female (Sex);4. Clerical support workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings survey;Establishment survey;2720;2613;;2683;2710;2730;;
Finland;Female (Sex);5. Service and sales workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings survey;Establishment survey;2443;2172;;2269;2261;2273;;
Finland;Female (Sex);6. Skilled agricultural, forestry and fishery workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings survey;Establishment survey;2194;2276;;2389;2402;2357;;
Finland;Female (Sex);7. Craft and related trades workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings survey;Establishment survey;2591;2561;;2744;2755;2574;;
