"LOCATION,""INDICATOR"",""SUBJECT"",""MEASURE"",""FREQUENCY"",""TIME"",""Value"",""Flag Codes"""
"ITA,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2016"",5.5555555533,"
"LUX,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2014"",3.4029167858,"
"NLD,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2014"",14.11468179,"
"POL,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2014"",11.07286288,"
"POL,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2016"",9.4178809362,"
"PRT,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2013"",16.666666667,"
"PRT,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2014"",18.879690138,"
"PRT,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2015"",18.917016404,"
"PRT,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2016"",14.285714286,"
"SVK,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2013"",14.109329757,"
"SVK,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2014"",14.350047529,"
"SVK,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2015"",13.376624885,"
"SVK,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2016"",13.899182143,"
"SVK,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2017"",15.040042332,"
"ESP,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2014"",11.540497618,"
"SWE,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2013"",13.420490928,"
"GBR,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2013"",17.482014388,"
"GBR,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2014"",17.382742571,"
"GBR,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2015"",17.101551481,"
"GBR,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2016"",16.839736933,"
"EST,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2014"",28.339350181,"
"SVN,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2014"",4.9962714392,"
"LVA,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2014"",21.122994652,"
"LTU,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2014"",12.479740681,"
"OECD,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2013"",14.2834362410227,"
"OECD,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2014"",14.2351429670489,"
"OECD,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2015"",14.2554439715556,"
"OECD,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2016"",13.8922071020086,"
"BGR,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2014"",4.0625,"
"CYP,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2014"",13.409234662,"
"MLT,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2014"",8.9894606324,"
"ROU,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2014"",1.5463917526,"
